id,title,releaseYear,genreIDs
album_0,Reverse-engineered human-resource paradigm Album 0,2004,"['genre_8', 'genre_10']"
album_1,Automated holistic monitoring Album 1,1993,"['genre_11', 'genre_14']"
album_2,Upgradable modular challenge Album 2,1986,"['genre_8', 'genre_9']"
album_3,Fully-configurable systematic instruction set Album 3,1981,['genre_1']
album_4,Pre-emptive grid-enabled hardware Album 4,2014,"['genre_14', 'genre_4']"
album_5,Multi-channeled regional architecture Album 5,2022,['genre_8']
album_6,Pre-emptive asymmetric benchmark Album 6,2020,['genre_12']
album_7,Open-source global moderator Album 7,2000,['genre_0']
album_8,Monitored zero tolerance success Album 8,2013,['genre_9']
album_9,Vision-oriented solution-oriented paradigm Album 9,1988,['genre_13']
album_10,Integrated user-facing moratorium Album 10,2001,['genre_8']
album_11,Diverse high-level productivity Album 11,2016,['genre_6']
album_12,Optimized web-enabled Graphical User Interface Album 12,1986,"['genre_6', 'genre_0']"
album_13,Polarized asynchronous portal Album 13,2003,"['genre_9', 'genre_10']"
album_14,Sharable 6thgeneration product Album 14,2012,"['genre_0', 'genre_4']"
album_15,Ergonomic client-server circuit Album 15,1990,"['genre_8', 'genre_7']"
album_16,Cross-platform impactful solution Album 16,1994,['genre_13']
album_17,Front-line uniform toolset Album 17,1989,['genre_8']
album_18,Horizontal multi-tasking hierarchy Album 18,2011,"['genre_14', 'genre_2']"
album_19,Optimized bifurcated artificial intelligence Album 19,2017,"['genre_3', 'genre_8']"
album_20,Configurable motivating project Album 20,2009,['genre_14']
album_21,Customer-focused actuating software Album 21,2009,['genre_7']
album_22,Function-based grid-enabled intranet Album 22,2012,"['genre_6', 'genre_12']"
album_23,Synergized motivating database Album 23,1981,['genre_14']
album_24,Ergonomic web-enabled solution Album 24,1996,['genre_0']
album_25,Face-to-face bottom-line data-warehouse Album 25,1993,"['genre_5', 'genre_13']"
album_26,Open-architected grid-enabled methodology Album 26,1993,['genre_7']
album_27,Re-contextualized dedicated open architecture Album 27,2001,"['genre_6', 'genre_12']"
album_28,Adaptive zero tolerance model Album 28,1997,['genre_13']
album_29,Multi-layered high-level firmware Album 29,2019,['genre_12']
album_30,Balanced value-added utilization Album 30,2009,"['genre_2', 'genre_13']"
album_31,Adaptive 4thgeneration knowledge user Album 31,2012,"['genre_1', 'genre_0']"
album_32,Versatile motivating success Album 32,2020,"['genre_7', 'genre_0']"
album_33,Distributed fresh-thinking frame Album 33,2004,"['genre_1', 'genre_6']"
album_34,Reduced scalable throughput Album 34,2018,"['genre_2', 'genre_5']"
album_35,Digitized heuristic methodology Album 35,2012,"['genre_8', 'genre_9']"
album_36,Universal asynchronous process improvement Album 36,2005,['genre_5']
album_37,Stand-alone contextually-based initiative Album 37,2020,['genre_1']
album_38,Programmable holistic utilization Album 38,2006,"['genre_7', 'genre_13']"
album_39,Diverse reciprocal emulation Album 39,1996,"['genre_12', 'genre_11']"
album_40,Ameliorated bifurcated success Album 40,2021,['genre_3']
album_41,Upgradable leadingedge ability Album 41,1999,['genre_13']
album_42,Progressive context-sensitive installation Album 42,1991,['genre_10']
album_43,Sharable static customer loyalty Album 43,2019,['genre_10']
album_44,Cross-group methodical challenge Album 44,2013,['genre_12']
album_45,Enhanced composite process improvement Album 45,1991,"['genre_2', 'genre_6']"
album_46,Intuitive 3rdgeneration product Album 46,2017,"['genre_0', 'genre_11']"
album_47,Reduced fresh-thinking pricing structure Album 47,2017,['genre_6']
album_48,Multi-tiered exuding secured line Album 48,1985,"['genre_0', 'genre_7']"
album_49,Optimized real-time middleware Album 49,1981,"['genre_5', 'genre_7']"
album_50,Customer-focused content-based Internet solution Album 50,1994,"['genre_0', 'genre_1']"
album_51,Fully-configurable radical success Album 51,1989,"['genre_13', 'genre_11']"
album_52,Upgradable multimedia process improvement Album 52,1981,['genre_9']
album_53,Seamless web-enabled hierarchy Album 53,1982,"['genre_12', 'genre_10']"
album_54,De-engineered encompassing portal Album 54,2005,"['genre_10', 'genre_3']"
album_55,Grass-roots 24/7 focus group Album 55,1989,"['genre_6', 'genre_4']"
album_56,Right-sized non-volatile conglomeration Album 56,1984,['genre_13']
album_57,Right-sized bandwidth-monitored strategy Album 57,1989,['genre_13']
album_58,Reduced 24/7 moratorium Album 58,1984,['genre_9']
album_59,Diverse tangible firmware Album 59,1991,"['genre_3', 'genre_4']"
album_60,Pre-emptive uniform circuit Album 60,1981,['genre_14']
album_61,Universal global implementation Album 61,2014,['genre_0']
album_62,Networked solution-oriented policy Album 62,2004,['genre_9']
album_63,Cross-group background approach Album 63,2002,['genre_4']
album_64,Front-line didactic portal Album 64,1984,['genre_9']
album_65,Devolved encompassing task-force Album 65,1984,"['genre_9', 'genre_1']"
album_66,Organized grid-enabled structure Album 66,1996,['genre_4']
album_67,Seamless context-sensitive architecture Album 67,1992,['genre_8']
album_68,Re-engineered hybrid firmware Album 68,1996,['genre_13']
album_69,Distributed dynamic neural-net Album 69,2006,"['genre_3', 'genre_12']"
album_70,Adaptive solution-oriented projection Album 70,1986,"['genre_13', 'genre_10']"
album_71,Open-source bandwidth-monitored data-warehouse Album 71,1984,"['genre_0', 'genre_11']"
album_72,Ameliorated asymmetric middleware Album 72,1999,['genre_7']
album_73,Enterprise-wide upward-trending open architecture Album 73,2014,['genre_14']
album_74,Programmable scalable product Album 74,1997,['genre_7']
album_75,Reverse-engineered optimizing moderator Album 75,1986,"['genre_9', 'genre_7']"
album_76,Sharable mission-critical analyzer Album 76,1992,"['genre_5', 'genre_0']"
album_77,Quality-focused client-driven conglomeration Album 77,2004,"['genre_9', 'genre_4']"
album_78,Ameliorated maximized database Album 78,1981,['genre_1']
album_79,Triple-buffered grid-enabled contingency Album 79,1980,['genre_11']
album_80,Multi-tiered human-resource hardware Album 80,2002,['genre_9']
album_81,Cloned well-modulated ability Album 81,2021,['genre_11']
album_82,Versatile context-sensitive analyzer Album 82,2020,['genre_6']
album_83,Reverse-engineered asymmetric Local Area Network Album 83,1989,['genre_9']
album_84,Cross-group mission-critical algorithm Album 84,1992,['genre_12']
album_85,Enhanced cohesive framework Album 85,2021,['genre_12']
album_86,Customer-focused content-based focus group Album 86,1981,"['genre_2', 'genre_1']"
album_87,Virtual full-range hierarchy Album 87,2013,['genre_11']
album_88,Optional bi-directional model Album 88,2021,"['genre_6', 'genre_2']"
album_89,Open-source zero administration standardization Album 89,1987,"['genre_0', 'genre_14']"
album_90,Face-to-face global contingency Album 90,1981,['genre_10']
album_91,Multi-lateral national contingency Album 91,2014,['genre_13']
album_92,Universal system-worthy moratorium Album 92,1984,"['genre_12', 'genre_2']"
album_93,Cross-platform neutral solution Album 93,2000,['genre_4']
album_94,Profound transitional success Album 94,1996,"['genre_3', 'genre_4']"
album_95,Integrated empowering policy Album 95,2009,"['genre_6', 'genre_4']"
album_96,Public-key directional access Album 96,2005,['genre_12']
album_97,Intuitive user-facing forecast Album 97,2000,['genre_6']
album_98,Customer-focused context-sensitive collaboration Album 98,2023,['genre_4']
album_99,Distributed intangible paradigm Album 99,2010,['genre_13']
