id,workStreamID,name,description,startDate,endDate,budgetAllocated,projectID
ws_101,WS-1101,Workstream_101_Study,Management yard level keep pretty security PM can.,2024-05-27T21:54:27,2024-11-03T21:54:27,3030149.9,proj_0
ws_102,WS-1102,Workstream_102_Lay,Until guess sing budget home.,2024-08-20T21:54:27,2025-01-03T21:54:27,4699408.3,proj_0
ws_103,WS-1103,Workstream_103_Nearly,Sport ten positive forget long notice white cultural.,2024-10-15T21:54:27,2024-12-18T21:54:27,4272836.2,proj_0
ws_104,WS-1104,Workstream_104_In,Laugh say method bring realize appear support.,2024-09-26T21:54:27,2024-12-09T21:54:27,2588090.8,proj_0
ws_105,WS-1105,Workstream_105_West,How write senior sometimes.,2024-06-19T21:54:27,2024-09-19T21:54:27,2708843.38,proj_0
ws_106,WS-1106,Workstream_106_Lawyer,Responsibility decision on reflect quality.,2024-05-12T21:54:27,2024-07-26T21:54:27,2614303.96,proj_0
ws_107,WS-1107,Workstream_107_Might,Current since whether able product of.,2024-06-23T21:54:27,2024-11-12T21:54:27,1190487.76,proj_0
ws_108,WS-1108,Workstream_108_Space,Soldier organization charge less national order adult.,2024-07-22T21:54:27,2025-01-09T21:54:27,2621901.96,proj_0
ws_109,WS-1109,Workstream_109_Gas,Difference partner ready bit week.,2024-09-30T21:54:27,2024-12-21T21:54:27,1641803.49,proj_0
ws_110,WS-1110,Workstream_110_For,Beyond dream charge perhaps model.,2024-10-10T21:54:27,2025-02-07T21:54:27,3660671.2,proj_0
ws_111,WS-1111,Workstream_111_Determine,Day political baby east bill cell.,2024-08-08T21:54:27,2024-10-26T21:54:27,2691957.78,proj_0
ws_112,WS-1112,Workstream_112_Explain,Around arrive three although eight what across while.,2024-09-13T21:54:27,2024-12-18T21:54:27,2654379.48,proj_0
ws_113,WS-1113,Workstream_113_Newspaper,Baby do approach national scientist pay to audience.,2024-05-18T21:54:27,2024-10-22T21:54:27,1713764.98,proj_0
ws_114,WS-1114,Workstream_114_Develop,Then next old notice policy else several.,2024-09-09T21:54:27,2024-11-17T21:54:27,1470081.18,proj_0
ws_115,WS-1115,Workstream_115_Body,Floor true provide middle break wonder action him most.,2024-05-13T21:54:27,2024-07-18T21:54:27,4098477.3,proj_0
ws_116,WS-1116,Workstream_116_Plant,Paper table account resource production old impact such.,2024-08-31T21:54:27,2025-01-09T21:54:27,4414503.72,proj_0
ws_117,WS-1117,Workstream_117_Claim,Thousand student scientist still himself listen brother mean enjoy yes.,2024-07-06T21:54:27,2024-09-13T21:54:27,3066204.51,proj_0
ws_118,WS-1118,Workstream_118_While,Statement difference visit different crime morning represent democratic hair.,2024-08-26T21:54:27,2025-01-25T21:54:27,2120121.66,proj_0
ws_119,WS-1119,Workstream_119_Partner,Well organization hospital identify public describe somebody.,2024-06-13T21:54:27,2024-10-23T21:54:27,1095878.31,proj_0
ws_120,WS-1120,Workstream_120_Cost,Born city fight measure arm.,2024-10-02T21:54:27,2025-02-21T21:54:27,2609013.92,proj_0
ws_121,WS-1121,Workstream_121_Process,Win together west artist available return amount often effect recent.,2024-09-19T21:54:27,2025-01-26T21:54:27,2805797.02,proj_0
ws_122,WS-1122,Workstream_122_Least,But defense notice own chance try fire stop.,2024-08-28T21:54:27,2024-11-19T21:54:27,3170983.38,proj_0
ws_123,WS-1123,Workstream_123_Chance,Attention seem about ball about trade change matter west.,2024-05-22T21:54:27,2024-11-18T21:54:27,3432421.81,proj_0
ws_124,WS-1124,Workstream_124_Visit,Administration least upon nice executive everyone card again similar.,2024-07-05T21:54:27,2024-10-17T21:54:27,2675435.13,proj_0
ws_125,WS-1125,Workstream_125_Nearly,Call sport yeah art technology analysis upon their strong.,2024-05-17T21:54:27,2024-10-28T21:54:27,1942110.34,proj_0
ws_126,WS-1126,Workstream_126_Court,Ever condition develop role rise.,2024-06-01T21:54:27,2024-11-04T21:54:27,2656148.19,proj_0
ws_127,WS-1127,Workstream_127_Wall,Same several so public security individual story support.,2024-07-24T21:54:27,2024-10-04T21:54:27,1779426.12,proj_0
ws_128,WS-1128,Workstream_128_Suddenly,Wait thus professor school some seat cut interview.,2024-06-30T21:54:27,2024-09-28T21:54:27,4118528.82,proj_0
ws_129,WS-1129,Workstream_129_Pretty,Environment up big choice range loss worker he almost do.,2024-07-28T21:54:27,2024-11-10T21:54:27,2745382.06,proj_0
ws_130,WS-1130,Workstream_130_Oil,International week heart policy like company within marriage thus.,2024-09-16T21:54:27,2024-12-02T21:54:27,4494886.44,proj_0
ws_131,WS-1131,Workstream_131_Foreign,President try small through skin safe value.,2024-08-18T21:54:27,2025-01-18T21:54:27,2580734.26,proj_0
ws_132,WS-1132,Workstream_132_Despite,Protect care around third you but series executive throughout something small.,2024-10-15T21:54:27,2025-02-25T21:54:27,4725609.85,proj_0
ws_133,WS-1133,Workstream_133_Decision,Quality him use against lose until.,2024-07-11T21:54:27,2024-10-12T21:54:27,1124518.66,proj_0
ws_134,WS-1134,Workstream_134_Policy,Event sport yet for firm surface instead style face woman.,2024-05-06T21:54:27,2024-08-17T21:54:27,2518289.09,proj_0
ws_135,WS-1135,Workstream_135_Kid,Successful budget phone ground discuss bank hour head government floor weight.,2024-05-11T21:54:27,2024-09-03T21:54:27,4786661.17,proj_0
ws_136,WS-1136,Workstream_136_Yes,Large miss claim discussion standard food more deep.,2024-05-16T21:54:27,2024-08-09T21:54:27,1256333.69,proj_0
ws_137,WS-1137,Workstream_137_Black,Stand piece alone Congress fund ability consumer.,2024-06-16T21:54:27,2024-12-13T21:54:27,2863637.83,proj_0
ws_138,WS-1138,Workstream_138_Though,Along morning when stand to friend them home.,2024-09-27T21:54:27,2025-02-12T21:54:27,3474473.72,proj_0
ws_139,WS-1139,Workstream_139_Young,Blood turn tax admit within physical.,2024-09-05T21:54:27,2024-11-23T21:54:27,505698.84,proj_0
ws_140,WS-1140,Workstream_140_Science,Pick offer certainly guess perform kind prove.,2024-05-29T21:54:27,2024-11-13T21:54:27,1366662.73,proj_0
ws_141,WS-1141,Workstream_141_Ability,Factor walk religious safe information realize positive hold southern.,2024-06-30T21:54:27,2024-09-06T21:54:27,3891338.37,proj_0
ws_142,WS-1142,Workstream_142_End,Put election want Mr actually old chair mother great sign.,2024-10-16T21:54:27,2025-03-12T21:54:27,3303863.92,proj_0
ws_143,WS-1143,Workstream_143_Prove,Perhaps girl Republican few series alone coach whom themselves.,2024-10-17T21:54:27,2025-03-06T21:54:27,4577244.75,proj_0
ws_144,WS-1144,Workstream_144_Back,Couple treatment leader produce miss listen.,2024-05-25T21:54:27,2024-11-17T21:54:27,747541.22,proj_0
ws_145,WS-1145,Workstream_145_Military,Around contain either company every care focus space various.,2024-09-08T21:54:27,2025-01-17T21:54:27,1875583.03,proj_0
ws_146,WS-1146,Workstream_146_Training,Seven future growth bad draw.,2024-06-05T21:54:27,2024-10-13T21:54:27,3885111.42,proj_0
ws_147,WS-1147,Workstream_147_Machine,Wife institution high within tell.,2024-05-14T21:54:27,2024-09-01T21:54:27,1916914.88,proj_0
ws_148,WS-1148,Workstream_148_Affect,Likely agreement approach early professor go him everyone.,2024-09-20T21:54:27,2025-01-05T21:54:27,2071534.84,proj_0
ws_149,WS-1149,Workstream_149_Analysis,Machine address follow color left just.,2024-10-03T21:54:27,2025-02-01T21:54:27,3216592.58,proj_0
ws_150,WS-1150,Workstream_150_Degree,Rule dog board long strategy of detail my minute wait.,2024-05-12T21:54:27,2024-07-19T21:54:27,870617.01,proj_0
ws_151,WS-1151,Workstream_151_Professor,Side fire simple upon recent somebody traditional.,2024-07-01T21:54:27,2024-08-30T21:54:27,3843450.81,proj_0
ws_152,WS-1152,Workstream_152_Firm,Shoulder because western another recognize couple consumer stuff.,2024-07-10T21:54:27,2024-12-13T21:54:27,4461986.76,proj_0
ws_153,WS-1153,Workstream_153_Deal,Mr memory beat us personal discussion choice stuff either simple.,2024-08-09T21:54:27,2024-12-27T21:54:27,546210.59,proj_0
ws_154,WS-1154,Workstream_154_Hotel,Say research in mouth finish turn east true.,2024-08-13T21:54:27,2025-01-10T21:54:27,2937290.98,proj_0
ws_155,WS-1155,Workstream_155_Become,If fear travel forward risk join plant dinner.,2024-08-25T21:54:27,2024-11-17T21:54:27,4046764.66,proj_0
ws_156,WS-1156,Workstream_156_Stop,Side him son skill season well force let.,2024-09-09T21:54:27,2024-12-03T21:54:27,2955037.25,proj_0
ws_157,WS-1157,Workstream_157_Raise,Computer writer offer art husband everybody capital ability.,2024-05-24T21:54:27,2024-09-18T21:54:27,4184293.35,proj_0
ws_158,WS-1158,Workstream_158_News,Close girl chair subject course myself.,2024-08-13T21:54:27,2025-01-08T21:54:27,2903294.61,proj_0
ws_159,WS-1159,Workstream_159_Kitchen,Anything perhaps try quite fear moment sport especially.,2024-10-08T21:54:27,2025-03-09T21:54:27,1278596.97,proj_0
ws_160,WS-1160,Workstream_160_Yes,Present story couple office too might store hard.,2024-07-04T21:54:27,2024-12-20T21:54:27,2569182.66,proj_0
ws_161,WS-1161,Workstream_161_Create,Serious cell center cost financial buy look line rock cost see.,2024-06-27T21:54:27,2024-09-06T21:54:27,3903984.49,proj_0
ws_162,WS-1162,Workstream_162_Sea,Knowledge president there protect.,2024-06-15T21:54:27,2024-11-20T21:54:27,1859331.98,proj_0
ws_163,WS-1163,Workstream_163_Rise,Wind bill answer mean fear section for concern.,2024-05-01T21:54:27,2024-08-29T21:54:27,3985370.71,proj_0
ws_164,WS-1164,Workstream_164_Task,Drop indicate likely special everybody drive their happen nation.,2024-07-20T21:54:27,2024-11-16T21:54:27,1823862.83,proj_0
ws_165,WS-1165,Workstream_165_Grow,Sometimes close where successful success forward wrong red upon soon.,2024-09-26T21:54:27,2025-01-19T21:54:27,1641294.99,proj_0
ws_166,WS-1166,Workstream_166_Cup,Exist must recent front list want lay test painting.,2024-06-10T21:54:27,2024-09-27T21:54:27,2733629.01,proj_0
ws_167,WS-1167,Workstream_167_Professional,Fire food that like analysis without could trouble.,2024-10-17T21:54:27,2025-02-20T21:54:27,1380769.89,proj_0
ws_168,WS-1168,Workstream_168_Establish,Significant any strong clear paper president realize.,2024-07-01T21:54:27,2024-11-11T21:54:27,1706544.76,proj_0
ws_169,WS-1169,Workstream_169_Much,And white identify range a seven paper program trip.,2024-08-03T21:54:27,2025-01-29T21:54:27,4845024.12,proj_0
ws_170,WS-1170,Workstream_170_Partner,Traditional art next indeed ready crime ago director begin kind think.,2024-09-11T21:54:27,2024-12-29T21:54:27,1038027.43,proj_0
ws_171,WS-1171,Workstream_171_Affect,Performance policy show protect something travel coach operation civil.,2024-08-27T21:54:27,2025-01-13T21:54:27,3449677.02,proj_0
ws_172,WS-1172,Workstream_172_Threat,Bar avoid arrive back reduce choose.,2024-06-30T21:54:27,2024-12-23T21:54:27,1278175.89,proj_0
ws_173,WS-1173,Workstream_173_War,Cup market teach act society ok future during would.,2024-10-02T21:54:27,2024-12-27T21:54:27,1167484.45,proj_0
ws_174,WS-1174,Workstream_174_Build,Establish meeting various executive population mean history break.,2024-08-13T21:54:27,2024-12-29T21:54:27,1357530.06,proj_0
ws_175,WS-1175,Workstream_175_Management,Quite foot beat late security operation.,2024-09-13T21:54:27,2025-01-16T21:54:27,2045565.44,proj_0
ws_176,WS-1176,Workstream_176_Argue,Particularly trade participant low guy long strategy sister decade.,2024-05-30T21:54:27,2024-11-25T21:54:27,4707756.06,proj_0
ws_177,WS-1177,Workstream_177_Choose,The individual quality cause behind dark.,2024-08-13T21:54:27,2025-01-01T21:54:27,1307175.99,proj_0
ws_178,WS-1178,Workstream_178_Consider,Usually quickly believe from.,2024-08-23T21:54:27,2024-11-16T21:54:27,2947925.18,proj_0
ws_179,WS-1179,Workstream_179_Field,Something onto bar measure sell still friend also much point.,2024-09-11T21:54:27,2024-12-01T21:54:27,1488684.87,proj_0
ws_180,WS-1180,Workstream_180_And,Too garden provide paper room fire star smile southern.,2024-07-15T21:54:27,2024-09-20T21:54:27,2127340.85,proj_0
ws_181,WS-1181,Workstream_181_State,Full country thus here want think government window consider.,2024-09-26T21:54:27,2024-11-26T21:54:27,4088566.82,proj_0
ws_182,WS-1182,Workstream_182_Man,Recent occur season in ball.,2024-07-25T21:54:27,2024-11-12T21:54:27,4308351.84,proj_0
ws_183,WS-1183,Workstream_183_Red,Happy structure against meet simple kind.,2024-07-10T21:54:27,2024-09-26T21:54:27,2987618.93,proj_0
ws_184,WS-1184,Workstream_184_One,Agency lead score back physical window value coach.,2024-07-14T21:54:27,2024-09-14T21:54:27,4576177.26,proj_0
ws_185,WS-1185,Workstream_185_Try,Action face behavior stock determine three.,2024-09-12T21:54:27,2024-12-06T21:54:27,3887287.55,proj_0
ws_186,WS-1186,Workstream_186_Traditional,Big difficult unit get from.,2024-06-24T21:54:27,2024-09-05T21:54:27,1496340.28,proj_0
ws_187,WS-1187,Workstream_187_Add,Among raise for explain nothing.,2024-07-19T21:54:27,2024-12-01T21:54:27,4440123.27,proj_0
ws_188,WS-1188,Workstream_188_Interesting,Travel strong much allow could west system easy.,2024-07-12T21:54:27,2024-12-21T21:54:27,556726.52,proj_0
ws_189,WS-1189,Workstream_189_Story,Head until kitchen imagine read push simple each along likely.,2024-06-21T21:54:27,2024-08-26T21:54:27,710034.48,proj_0
ws_190,WS-1190,Workstream_190_Whom,Decide south culture development nice team.,2024-08-03T21:54:27,2025-01-21T21:54:27,3472609.07,proj_0
ws_191,WS-1191,Workstream_191_Stuff,Structure meet environment politics state could real professional job dog.,2024-09-13T21:54:27,2025-03-07T21:54:27,3853077.4,proj_0
ws_192,WS-1192,Workstream_192_Card,Pattern minute key major factor me glass data meet involve.,2024-05-10T21:54:27,2024-08-16T21:54:27,2375887.2,proj_0
ws_193,WS-1193,Workstream_193_Blue,Call forget might treatment visit build pick recently bar bed.,2024-07-28T21:54:27,2024-12-21T21:54:27,4281779.21,proj_0
ws_194,WS-1194,Workstream_194_Still,Left risk specific technology know rule meet.,2024-08-03T21:54:27,2024-10-05T21:54:27,2232662.33,proj_0
ws_195,WS-1195,Workstream_195_Own,Maintain need resource beat child treatment those speak.,2024-04-26T21:54:27,2024-09-18T21:54:27,2405318.67,proj_0
ws_196,WS-1196,Workstream_196_If,Give option parent image land chance foreign technology foreign.,2024-10-06T21:54:27,2025-02-02T21:54:27,1347188.24,proj_0
ws_197,WS-1197,Workstream_197_Region,Check dark capital road.,2024-07-10T21:54:27,2024-09-11T21:54:27,2606495.92,proj_0
ws_198,WS-1198,Workstream_198_Least,Care single subject since thousand manager.,2024-05-07T21:54:27,2024-09-12T21:54:27,1249731.04,proj_0
ws_199,WS-1199,Workstream_199_Sister,Everyone place movement type away democratic personal even that hundred.,2024-07-01T21:54:27,2024-09-25T21:54:27,2700877.58,proj_0
