id,productName,sku,productType,unitPrice
product_0,Reduced hybrid core,SKU-0-418,FinishedGood,111.9
product_1,Polarized high-level extranet,SKU-1-487,FinishedGood,74.41
product_2,Organized client-server database,SKU-2-771,RawMaterial,170.77
product_3,Object-based radical attitude,SKU-3-226,FinishedGood,162.35
product_4,Organic impactful matrix,SKU-4-524,FinishedGood,146.28
product_5,Progressive fault-tolerant parallelism,SKU-5-255,RawMaterial,143.59
product_6,Phased real-time concept,SKU-6-456,RawMaterial,83.23
product_7,Inverse neutral synergy,SKU-7-185,Component,123.54
product_8,Enterprise-wide maximized implementation,SKU-8-871,RawMaterial,62.09
product_9,Function-based stable hierarchy,SKU-9-691,FinishedGood,51.21
product_10,Future-proofed web-enabled firmware,SKU-10-474,Component,119.28
product_11,Phased well-modulated open system,SKU-11-313,Component,79.12
product_12,Proactive solution-oriented approach,SKU-12-198,FinishedGood,116.55
product_13,Digitized global data-warehouse,SKU-13-862,FinishedGood,177.93
product_14,Object-based 24/7 system engine,SKU-14-691,FinishedGood,182.07
product_15,Team-oriented maximized emulation,SKU-15-927,Component,25.54
product_16,Exclusive object-oriented knowledge user,SKU-16-873,Component,180.47
product_17,Inverse non-volatile toolset,SKU-17-308,FinishedGood,172.33
product_18,Customer-focused intermediate definition,SKU-18-994,RawMaterial,144.71
product_19,Focused modular moderator,SKU-19-235,Component,96.6
product_20,Streamlined 24/7 product,SKU-20-622,Component,135.58
product_21,Programmable directional open architecture,SKU-21-461,FinishedGood,88.06
product_22,Profit-focused high-level archive,SKU-22-366,RawMaterial,22.17
product_23,Balanced actuating productivity,SKU-23-467,RawMaterial,15.81
product_24,Inverse solution-oriented website,SKU-24-402,Component,94.55
product_25,Customizable bifurcated complexity,SKU-25-177,RawMaterial,71.45
product_26,Re-engineered intangible policy,SKU-26-706,FinishedGood,85.82
product_27,User-centric secondary analyzer,SKU-27-176,RawMaterial,135.28
product_28,Open-source zero tolerance help-desk,SKU-28-465,Component,164.89
product_29,Ergonomic motivating toolset,SKU-29-889,RawMaterial,45.75
product_30,Vision-oriented radical time-frame,SKU-30-619,RawMaterial,138.14
product_31,Self-enabling system-worthy infrastructure,SKU-31-538,RawMaterial,20.67
product_32,Monitored disintermediate data-warehouse,SKU-32-407,FinishedGood,30.83
product_33,Customizable exuding capacity,SKU-33-636,RawMaterial,13.52
product_34,Decentralized 24/7 encryption,SKU-34-498,RawMaterial,117.37
product_35,Triple-buffered encompassing service-desk,SKU-35-716,FinishedGood,39.75
product_36,Advanced interactive function,SKU-36-771,Component,118.36
product_37,Proactive asymmetric collaboration,SKU-37-382,Component,157.82
product_38,Synergistic disintermediate infrastructure,SKU-38-732,Component,69.97
product_39,Realigned asynchronous array,SKU-39-130,RawMaterial,40.26
product_40,Cross-group static projection,SKU-40-406,RawMaterial,1.41
product_41,Advanced clear-thinking utilization,SKU-41-480,FinishedGood,119.39
product_42,Enhanced fault-tolerant archive,SKU-42-967,FinishedGood,109.39
product_43,Robust value-added neural-net,SKU-43-335,RawMaterial,157.21
product_44,Customer-focused hybrid strategy,SKU-44-882,Component,16.67
product_45,Integrated homogeneous contingency,SKU-45-687,Component,120.91
product_46,User-friendly mobile monitoring,SKU-46-456,Component,76.53
product_47,Organized fresh-thinking workforce,SKU-47-773,RawMaterial,189.37
product_48,Diverse directional flexibility,SKU-48-336,Component,196.71
product_49,Persistent analyzing moderator,SKU-49-259,FinishedGood,97.9
product_50,Diverse bandwidth-monitored instruction set,SKU-50-615,FinishedGood,68.17
product_51,Object-based national hardware,SKU-51-405,Component,43.25
product_52,Digitized motivating synergy,SKU-52-252,FinishedGood,120.89
product_53,Phased stable toolset,SKU-53-783,FinishedGood,91.81
product_54,Automated tertiary framework,SKU-54-635,Component,148.58
product_55,Integrated bifurcated ability,SKU-55-858,FinishedGood,109.37
product_56,Mandatory hybrid task-force,SKU-56-341,FinishedGood,136.1
product_57,Function-based solution-oriented firmware,SKU-57-323,Component,115.6
product_58,Centralized didactic core,SKU-58-944,FinishedGood,22.33
product_59,Multi-lateral background structure,SKU-59-310,RawMaterial,142.44
product_60,Integrated zero tolerance moratorium,SKU-60-414,FinishedGood,143.4
product_61,Focused 24hour attitude,SKU-61-449,RawMaterial,114.26
product_62,Extended 24hour archive,SKU-62-290,FinishedGood,46.66
product_63,Decentralized 3rdgeneration Graphic Interface,SKU-63-383,RawMaterial,161.3
product_64,Cross-platform attitude-oriented data-warehouse,SKU-64-666,FinishedGood,171.5
product_65,Configurable fresh-thinking concept,SKU-65-810,FinishedGood,24.79
product_66,Implemented scalable array,SKU-66-148,FinishedGood,10.95
product_67,Total methodical analyzer,SKU-67-419,Component,78.95
product_68,De-engineered fresh-thinking solution,SKU-68-257,FinishedGood,88.65
product_69,Re-contextualized foreground Graphic Interface,SKU-69-978,FinishedGood,64.54
product_70,Reduced attitude-oriented challenge,SKU-70-356,Component,12.5
product_71,Synchronized 5thgeneration Local Area Network,SKU-71-652,RawMaterial,22.11
product_72,Automated static parallelism,SKU-72-860,RawMaterial,198.03
product_73,Re-engineered asynchronous policy,SKU-73-972,Component,61.08
product_74,Exclusive intermediate middleware,SKU-74-310,Component,136.57
product_75,Business-focused eco-centric capacity,SKU-75-199,Component,30.05
product_76,Monitored full-range software,SKU-76-487,Component,181.65
product_77,Streamlined static contingency,SKU-77-696,Component,156.31
product_78,Cloned modular knowledge user,SKU-78-824,FinishedGood,132.94
product_79,Proactive disintermediate monitoring,SKU-79-297,Component,50.63
product_80,Visionary interactive process improvement,SKU-80-551,FinishedGood,121.06
product_81,Inverse uniform definition,SKU-81-215,RawMaterial,66.79
product_82,Ameliorated context-sensitive function,SKU-82-897,RawMaterial,117.78
product_83,Centralized grid-enabled task-force,SKU-83-434,RawMaterial,128.26
product_84,Seamless scalable time-frame,SKU-84-789,FinishedGood,29.88
product_85,Organic full-range system engine,SKU-85-398,Component,177.63
product_86,Polarized impactful knowledge user,SKU-86-318,FinishedGood,124.86
product_87,De-engineered interactive functionalities,SKU-87-933,FinishedGood,18.89
product_88,Focused solution-oriented concept,SKU-88-293,Component,72.22
product_89,Monitored static middleware,SKU-89-947,Component,114.68
product_90,Organic fault-tolerant implementation,SKU-90-144,FinishedGood,33.19
product_91,Assimilated discrete intranet,SKU-91-961,FinishedGood,115.68
product_92,Multi-channeled 24/7 function,SKU-92-331,Component,142.7
product_93,Fully-configurable 24hour workforce,SKU-93-779,RawMaterial,23.03
product_94,Customizable value-added adapter,SKU-94-402,FinishedGood,43.73
product_95,Down-sized local process improvement,SKU-95-281,Component,130.09
product_96,Advanced web-enabled conglomeration,SKU-96-200,RawMaterial,103.75
product_97,Exclusive fresh-thinking initiative,SKU-97-349,RawMaterial,88.2
product_98,Customer-focused maximized middleware,SKU-98-261,RawMaterial,186.54
product_99,Reduced full-range budgetary management,SKU-99-784,Component,114.38
